정류장ID,정류장명,위도,경도,노선 개수,승차 비율,하차 비율,환승 비율,고정인구,유동인구,평균 속도,평균 통행량,교통 혼잡도,BRT 정류장 여부,대중교통 연계,주변 건물,이용량,이용량_보정,입지 점수
293064511,반곡고등학교,36.4978363,127.3161531,1,0.734595038,0.251620595,0.0137843678,2234,29318,43.7,95.9,0.57208238,1,4,136,13421,5247,-0.36062205781396817
293064432,수루배마을4단지,36.501285,127.31406,2,0.0748911812,0.92033868,0.00477013893,505,29318,29.6,52.8,0.844594595,0,3,11,16771,16771,-0.3693276792512104
293064378,"수루배마을8,9단지",36.4981635,127.317689,2,0.925259138,0.0540517856,0.0206890763,1862,29318,30.5,75.8,0.655737705,0,2,6,23829,23829,-0.37211525996352557
293057001,한국조세재정연구원,36.49277,127.30037,5,0.505734294,0.467065868,0.0271998376,1359,29318,49.4,43.8,0.4048583,0,6,116,19706,19706,-0.37744883387463035
293064431,수루배마을4단지,36.501441,127.31419,2,0.912516964,0.0727111389,0.0147718969,305,29318,32.6,44.8,0.766871166,0,3,11,19158,19158,-0.40149030046153866
293064459,해밀마을1단지,36.5245725,127.263286,2,0.506343078,0.479683765,0.0139731568,2436,62262,44.7,16.8,0.559284116,0,2,0,5439,5439,-0.4246657825923402
293064460,원수산MTB공원,36.523357,127.2663781,2,0.340706248,0.636010865,0.0232828871,1294,62262,51.1,9.9,0.489236791,0,5,0,5154,5154,-0.44691426784885724
293064479,집현동,36.49804,127.32304,3,0.360566681,0.494780571,0.144652748,564,29318,39.1,57.4,0.639386189,1,6,0,9388,3670,-0.4471106015884152
293064446,세종충남대학교병원,36.521617,127.259736,3,0.36094289,0.605957683,0.0330994264,44,62262,50.5,404.3,0.495049505,1,1,13,93627,36605,-0.4545614648080947
293014034,세종호수공원,36.50216,127.27738,1,0.461694229,0.52480594,0.0134998313,652,107847,42.0,182.1,0.595238095,0,1,0,2963,2963,-0.47771496583228135
293900009,세종소방서,36.5064823,127.272369,1,0.292375206,0.701919912,0.00570488206,1567,62262,45.2,135.3,0.331858407,1,4,86,9115,3563,-0.48543132456823046
293064478,산학연클러스터,36.50067,127.3279,1,0.207490637,0.788014981,0.00449438202,54,29318,53.3,52.7,0.469043152,0,6,101,1335,1335,-0.5048775253437056
293900018,새나루마을1단지(후문),36.4837674,127.3176229,1,0.274934069,0.717993287,0.00707264445,0,29318,23.9,49.5,0.627615063,1,3,0,16684,6522,-0.5352134307907053
293011079,집현동,36.4999553,127.3334594,1,0.835526316,0.157894737,0.00657894737,0,29318,34.1,51.3,0.73313783,0,0,100,152,152,-0.5369586912130303
293051003,열병합발전소,36.46513,127.246,2,0.436321535,0.514058882,0.0496195832,0,41244,48.9,337.2,0.613496933,0,2,3,3023,3023,-0.5622427347778952
293051004,열병합발전소,36.4654,127.24613,2,0.237679895,0.648931531,0.113388574,0,41244,52.3,264.7,0.573613767,0,2,3,2293,2293,-0.5819729381901828
293064477,산학연클러스터,36.50184,127.32914,1,0.9058927,0.0562884785,0.0378188215,505,29318,65.7,86.8,0.380517504,0,5,2,1137,1137,-0.5898674542360326
293013007,운당1리,36.6979,127.15261,2,0.831343978,0.163695551,0.00496047124,26,28286,65.0,126.4,0.615384615,0,0,26,6451,6451,-0.5945294379105578
293900011,전통문화체험관,36.5038919,127.2832104,1,0.227767115,0.769033909,0.00319897633,0,107847,61.2,152.7,0.408496732,1,0,0,1563,611,-0.6211404652402985
