정류장ID,정류장명,위도,경도
286065004,송선1통(장군면 방면),36.484736,127.168683
286065005,송선1통(신관동 방면),36.486222,127.17051
286065006,송선수영장(장군면방면),36.484532,127.17248
286065008,송선2통(장군면 방면),36.483592,127.162053
286065010,송선수영장(신관동방면),36.484651,127.172382
286065011,장기산업단지(신관동 방면),36.482299,127.159038
286065012,장기산업단지(장군면방면),36.482061,127.158917
286066002,관골,36.47337,127.133058
286066003,시목동(옥룡동 방면),36.463819,127.139119
286066004,시목동(터미널 방면),36.464049,127.139402
286066005,신관사거리,36.471034,127.131294
286066006,신관사거리,36.470714,127.131329
286066009,종합버스터미널(옥룡동방면),36.467935,127.134576
286066010,종합버스터미널(신관초방면),36.467953,127.134992
286066011,주공1차아파트(법원방면),36.473793,127.136733
286066012,주공1차아파트(터미널방면),36.474159,127.136772
286070001,옥룡동 회전교차로(터미널),36.45554,127.131594
286070002,옥룡동 교차로(산성시장 방면),36.456138,127.132796
286070003,옥룡동 주민센터(시목동방면),36.456359,127.135853
286070004,옥룡동 주민센터(산성시장),36.457364,127.136341
286070005,옥룡동 회전교차로(산성시장),36.456036,127.129847
286070006,산성동종점,36.46014,127.12387
286071104,흥화하브아파트,36.480528,127.1496489
286071105,흥화하브아파트,36.4804514,127.1496827
286071108,신관동행정복지센터(신관초방면),36.4723098,127.1322468
293000254,응암3리,36.5362983,127.3486242
293000255,응암3리,36.5361388,127.3486174
293000256,평기교,36.5034383,127.202422
293000257,평기교,36.5033477,127.2021484
293001001,봉산리(국제기계),36.61816,127.27034
293001002,봉산리(국제기계),36.61812,127.27049
293001003,봉산리(윗말),36.61172,127.27374
293001004,봉산리(윗말),36.61174,127.27389
293001005,봉산리(중뜸),36.60959,127.27518
293001006,봉산리(중뜸),36.60936,127.27516
293001010,봉산1리,36.60486,127.27756
293001011,봉산1리마을회관,36.60681,127.27801
293001012,봉산1리마을회관,36.60694,127.27798
293001013,봉산리,36.6061,127.28081
293001014,봉산리,36.60621,127.28092
293001015,한마음효요양병원,36.63375,127.28309
293001016,한마음효요양병원,36.63387,127.28325
293001017,서창리,36.60512,127.28421
293001018,서창리,36.60526,127.28432
293001019,세종시민체육관,36.59455,127.28477
293001020,세종시민체육관,36.59468,127.28478
293001021,신안리마을회관,36.61655,127.28695
293001022,신안리마을회관,36.61637,127.28719
293001023,세종여자고등학교,36.60638,127.28828
293001024,세종여자고등학교,36.60653,127.28837
293001026,조형아파트,36.63471,127.28878
293001027,조형아파트,36.63441,127.28884
293001028,구렁말,36.61737,127.28887
293001029,구렁말,36.61749,127.28889
293001030,신안2리입구,36.62874,127.28909
293001031,신안2리입구,36.62926,127.28909
293001032,중앙요양병원,36.614,127.2894
293001033,중앙요양병원,36.61411,127.28953
293001034,신안2리(안터),36.62652,127.28975
293001036,신봉초등학교,36.60283,127.28966
293001037,신흥주공아파트,36.5951,127.28973
293001038,신흥주공아파트,36.59523,127.28973
293001039,신안2리(안터),36.62633,127.28994
293001040,신봉초등학교,36.60169,127.29016
293001041,세종여자고등학교입구,36.6070144,127.2912647
293001042,세종시문화예술회관,36.59869,127.29035
293001043,홍익대학교,36.62188,127.29056
293001045,세종시문화예술회관,36.598,127.29075
293001046,자이아파트정문,36.58832,127.29073
293001047,신안1리,36.61865,127.29091
293001048,홍익대학교,36.62178,127.29072
293001049,신안1리입구,36.61372,127.29104
293001050,신안1리입구,36.61353,127.29121
293001051,세종여자고등학교입구,36.6068434,127.2914161
293001052,자이아파트,36.59083,127.29173
293001053,자이아파트,36.59085,127.29192
293001054,번암아파트후문,36.58772,127.29233
293001055,고려대학교,36.6108381,127.2930928
293001058,고려대학교,36.61076,127.29344
293001064,세무서 출장민원실,36.60607,127.29412
293001065,번암삼거리,36.58365,127.29409
293001066,번암삼거리,36.58401,127.29416
293001067,새주막거리,36.61256,127.29455
293001068,새주막거리,36.61236,127.29459
293001070,욱일아파트,36.6013523,127.2948263
293001072,조치원역뒤편,36.599727,127.2951059
293001075,조치원역뒤편,36.60061,127.29509
293001076,죽림리,36.59645,127.2957
293001078,번암아파트,36.58577,127.29582
293001079,번암아파트,36.5866993,127.2971748
293001080,세종고등학교,36.61024,127.29666
293001081,신동아아파트,36.59199,127.29667
293001082,세종고등학교,36.61017,127.2968
293001084,조치원역,36.60099,127.29713
293001085,세종중학교,36.60591,127.29721
293001086,세종중학교,36.60578,127.29741
293001087,세종우체국,36.60296,127.29789
293001088,조치원전통시장,36.599942,127.29819
293001089,번암리,36.5884,127.29841
293001090,조치원전통시장,36.59898,127.29861
293001091,죽림리,36.59078,127.29892
