학교명,학교급구분,소재지도로명주소,위도,경도
한국영상대학교,대학교,세종특별자치시 장군면 대학길 300,36.4628732,127.2098941
고려대학교 세종캠퍼스,대학교,세종특별자치시 조치원읍 세종로 2511,36.6108968,127.2864676
대전가톨릭대학교,대학교,세종특별자치시 전의면 가톨릭대학로 30,36.6553123,127.1978279
홍익대학교 세종캠퍼스,대학교,세종특별자치시 조치원읍 세종로 2639,36.6209818,127.2873566
