LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK,택시 평균 속도,택시 평균 통행량
4130265100,4130090500,4130096800,1,104,0,-,보듬2로,0,0,0,30,0,0,0,0,299.4347115,20230519,,,,29.8,141.6
4130269600,4130079500,4130074700,2,104,0,-,보듬3로,0,0,0,50,0,0,0,0,328.1151044,20230519,,,,18.3,148.7
4130269700,4130080100,4130081900,2,104,0,-,보듬3로,0,0,0,50,0,0,0,0,126.155346,20230519,,,,29.8,87.9
4130265200,4130096800,4130090500,1,104,0,-,보듬2로,0,0,0,30,0,0,0,0,299.7629953,20230519,,,,27,128.8
4130474501,4130175801,4130155000,2,105,0,96,연청로,0,0,0,60,0,0,0,0,729.3941775,20230519,,,,38.5,341.4
4130266900,4130080300,4130081200,1,104,0,-,도담서길,0,0,0,30,0,0,0,0,134.3766849,20230519,,,,25.1,0.6
4130271000,4130069600,4130070000,1,104,0,-,달빛1로,0,0,0,40,0,0,0,0,352.6618299,20230519,,,,18.3,77.7
4130272600,4130066200,4130065100,2,104,0,-,보듬3로,0,0,0,30,0,0,0,0,66.04796712,20230519,,,,22,67.3
4130273100,4130064500,4130064400,2,104,0,-,만남로,0,0,0,50,0,0,0,0,94.94926227,20230519,,,,29.4,32.9
4130273200,4130064400,4130064500,2,104,0,-,만남로,0,0,0,50,0,0,0,0,94.7935024,20230519,,,,22.3,26
4130273300,4130074900,4130075200,2,104,0,-,달빛로,0,0,0,50,0,0,0,0,136.4561827,20230519,,,,29.5,48.1
4130273800,4130089100,4130087100,2,104,0,-,보듬3로,0,0,0,40,0,0,0,0,78.65055443,20230519,,,,18,292.8
4130277800,4130069600,4130068300,2,104,0,-,달빛2로,0,0,0,30,0,0,0,0,122.027318,20230519,,,,21.7,21.6
4130287700,4130054600,4130055100,1,104,0,-,고운북7길,0,0,0,40,0,0,0,0,175.5495265,20230519,,,,19.6,2
4130279400,4130063700,4130063600,2,104,0,-,만남로,0,0,0,30,0,0,0,0,261.9657194,20230519,,,,16.4,50
4130338000,4130158000,4130159300,2,104,0,-,명학산단로,0,0,0,50,0,0,0,0,536.7529642,20230519,,,,50.2,8.5
4130032400,4130006800,4130120700,1,104,0,-,서북부3로,0,0,0,30,0,0,0,0,312.777156,20230519,,,,25.3,5.7
4130281100,4130054200,4130055000,2,104,0,-,마음로,0,0,0,30,0,0,0,0,143.3869206,20230519,,,,43.3,24
4130480601,4130177301,4130092100,3,107,0,-,미리내로,0,0,0,50,0,0,0,0,125.1782665,20230519,,,,14.3,93.5
4130284900,4130130000,4130133500,2,104,0,-,원수산로,0,0,0,50,0,0,0,0,511.0011124,20230519,,,,86.2,274
