정류장ID,정류장명,기차역,고속/시외버스 터미널,택시 승강장,공영 주차장,어울링 대여소,승차,하차,환승,위도,경도
293064378,"수루배마을8,9단지",0,0,0,0,2,22048,1288,493,36.4981635,127.317689
293064377,한결초등학교,0,0,0,0,18,2734,11172,141,36.4960562,127.2472552
293064392,"한뜰마을1,2단지",0,0,3,0,9,49925,27687,4177,36.506399,127.267947
293064391,"새뜸마을3,4단지",0,0,0,0,14,7716,12089,1729,36.4864817,127.2470741
293064390,"새뜸마을3,4단지",0,0,0,0,14,8145,14791,62,36.4866304,127.2470123
293064401,반곡동(수루배마을),0,0,0,0,9,25587,9095,1817,36.497847,127.312253
293064400,반곡동(수루배마을),0,0,0,0,10,11245,18494,1177,36.497338,127.310767
293064394,보건복지부 고용노동부,0,0,7,0,16,276,1162,98,36.5022146,127.2608383
293064393,보건복지부 고용노동부,0,0,7,0,17,6442,8293,995,36.5024356,127.2609046
293064413,고운동(만남로),0,0,0,0,6,1214,3479,77,36.500435,127.235985
293064412,고운동(만남로),0,0,0,0,6,1618,1956,68,36.501134,127.236316
293064421,수루배마을6단지,0,0,0,0,5,2627,18643,489,36.494364,127.318453
293064419,집현동,0,0,0,0,6,58762,40349,2843,36.497917,127.321985
293064418,집현동,0,0,0,0,6,41580,58364,1440,36.498135,127.322785
293064417,산학연클러스터,0,0,0,0,6,55146,34906,901,36.500789,127.328331
293064416,산학연클러스터,0,0,0,0,5,49930,60277,675,36.501718,127.328826
293064422,수루배마을6단지,0,0,0,0,4,21921,2724,553,36.494546,127.318515
293064436,한국산업인력공단(세종지사),0,0,1,0,19,59347,155943,5065,36.4903,127.256369
293064434,수루배마을3단지,0,0,0,0,4,1449,13036,69,36.500238,127.307661
293064433,수루배마을3단지,0,0,0,0,4,13189,977,196,36.500322,127.307365
293064432,수루배마을4단지,0,0,0,0,3,1256,15435,80,36.501285,127.31406
293064431,수루배마을4단지,0,0,0,0,3,17482,1393,283,36.501441,127.31419
293064448,세종충남대학교병원(후문),0,0,0,0,1,7172,25072,1142,36.521691,127.259634
293064447,세종충남대학교병원(후문),0,0,0,0,4,14062,12248,4500,36.520501,127.259685
293064446,세종충남대학교병원,0,0,0,0,1,33794,56734,3099,36.521617,127.259736
293064445,세종충남대학교병원,0,0,0,0,3,18230,60968,2251,36.520517,127.259481
293064461,원수산MTB공원,0,0,0,0,5,2545,3796,103,36.5237808,127.2664048
293064460,원수산MTB공원,0,0,0,0,5,1756,3278,120,36.523357,127.2663781
293064459,해밀마을1단지,0,0,0,0,2,2754,2609,76,36.5245725,127.263286
293064458,해밀마을1단지,0,0,0,0,3,2009,1455,112,36.524978,127.2631843
293064479,집현동,0,0,0,0,6,3385,4645,1358,36.49804,127.32304
293064478,산학연클러스터,0,0,0,0,6,277,1052,6,36.50067,127.3279
293064477,산학연클러스터,0,0,0,0,5,1030,64,43,36.50184,127.32914
293064476,아름제2중(가락마을20단지),0,0,0,0,12,8018,4588,238,36.5166984,127.2418662
293064475,가락마을8단지.가재마을4단지,0,0,0,0,8,5116,6181,94,36.5076286,127.2416171
293064473,"종촌초등학교(가락마을6, 7단지)",0,0,0,0,10,8068,6771,184,36.5034395,127.2408773
293011079,집현동,0,0,0,0,0,127,24,1,36.4999553,127.3334594
