대여소 번호,대여소 아이디,대여소 이름,사용유무,주소(구),주소(동),상세주소,경도,위도,권역,지오펜스 거리,등록일,수정일
34,SJ_00034,보람동_해들513동앞BRT,Y,세종,보람동,세종특별자치시 보람동 664-134,127.280865,36.474907,3,30,2018-07-30 10:21,2020-12-10 10:24
35,SJ_00035,대평동_씨티오브드림BRT1,Y,세종,대평동,세종특별자치시 대평동 63-16,127.276688,36.472668,3,30,2018-07-30 10:27,2020-12-10 10:24
36,SJ_00036,대평동_씨티오브드림BRT2,Y,세종,대평동,세종특별자치시 대평동 65-12,127.276106,36.472293,3,30,2018-07-30 10:28,2020-12-10 10:24
37,SJ_00037,대평동_씨티오브드림BRT3,Y,세종,대평동,세종특별자치시 대평동 125-3,127.275669,36.471963,3,30,2018-07-30 10:29,2020-12-10 10:24
38,SJ_00038,대평동_세종메디컬센터BRT1,Y,세종,대평동,세종특별자치시 대평동 548,127.277055,36.472382,3,30,2018-07-30 10:30,2020-12-10 10:24
39,SJ_00039,대평동_세종메디컬센터BRT2,Y,세종,대평동,세종특별자치시 대평동 65-15,127.276779,36.472197,3,30,2018-07-30 10:31,2020-12-10 10:24
40,SJ_00040,대평동_세종메디컬센터BRT3,Y,세종,대평동,세종특별자치시 대평동 152-7,127.276105,36.471763,3,30,2018-07-30 10:32,2020-12-10 10:24
41,SJ_00041,대평동_해피라움블루 건너편,Y,세종,대평동,세종특별자치시 대평동 198-64,127.274318,36.475098,3,30,2018-07-30 10:33,2020-12-10 10:24
42,SJ_00042,대평동_금강변길,Y,세종,대평동,세종특별자치시 대평동 201-7,127.272908,36.474216,3,30,2018-07-30 10:34,2020-12-10 10:24
44,SJ_00044,대평동_세종고속시외버스터미널BRT,Y,세종,대평동,세종특별자치시 대평동 643,127.273195,36.470563,3,30,2018-07-30 10:38,2020-12-10 10:24
45,SJ_00045,대평동_세종고속시외버스터미널 건너편,Y,세종,대평동,세종특별자치시 대평동 499,127.274299,36.469017,3,30,2018-07-30 10:39,2021-12-27 18:34
46,SJ_00046,보람동_세종시청 서문,Y,세종,보람동,세종특별자치시 보람동 627-2,127.288415,36.479836,3,30,2018-08-03 10:16,2020-12-10 10:24
47,SJ_00047,연기면_세종보 입구,Y,세종,연기면,세종특별자치시 연기면 세종리 1054,127.259123,36.476538,2,30,2018-08-06 8:15,2020-12-10 10:24
48,SJ_00048,한솔동_한솔중학교 버스정류장,Y,세종,한솔동,세종특별자치시 한솔동 976,127.255363,36.475171,2,30,2018-08-06 8:17,2020-12-10 10:24
49,SJ_00049,한솔동_첫마을7단지702동앞,Y,세종,한솔동,세종특별자치시 한솔동 1234,127.254921,36.474023,2,30,2018-08-06 8:17,2020-12-10 10:24
50,SJ_00050,한솔동_첫마을6단지617동옆,Y,세종,한솔동,세종특별자치시 한솔동 984,127.251964,36.475565,2,15,2018-08-06 8:19,2022-06-10 8:44
51,SJ_00051,한솔동_한솔고등학교,Y,세종,한솔동,세종특별자치시 한솔동 971,127.252185,36.478211,2,30,2018-08-06 8:20,2022-01-21 9:04
52,SJ_00052,한솔동_첫마을5단지525동옆,Y,세종,한솔동,세종특별자치시 한솔동 1229,127.25031,36.477601,2,25,2018-08-06 8:20,2021-08-23 7:33
53,SJ_00053,한솔동_주민센터,Y,세종,한솔동,세종특별자치시 한솔동 1230,127.2549,36.479357,2,30,2018-08-06 8:21,2020-12-10 10:24
