정류장ID,정류장명,위도,경도,노선 개수,승차,하차,환승,승차 비율,하차 비율,환승 비율,고정인구,유동인구,기차역,고속/시외버스 터미널,택시 승강장,공영 주차장,어울링 대여소,상가,중고등학교,대학교,관광 명소,평균 속도,평균 통행량,교통 혼잡도,BRT 정류장 여부
293064445,세종충남대학교병원,36.520517,127.259481,4,18230,60968,2251,0.223821041,0.748542032,0.0276369262,1640,62262,0,0,0,0,3,16,0,0,0,50,167.8,0.5,1
293064461,원수산MTB공원,36.5237808,127.2664048,2,2545,3796,103,0.39494103,0.589075109,0.015983861,2241,62262,0,0,0,0,5,0,0,0,0,39.1,12.6,0.639386189,0
293064460,원수산MTB공원,36.523357,127.2663781,2,1756,3278,120,0.340706248,0.636010865,0.0232828871,1294,62262,0,0,0,0,5,0,0,0,0,51.1,9.9,0.489236791,0
293064459,해밀마을1단지,36.5245725,127.263286,2,2754,2609,76,0.506343078,0.479683765,0.0139731568,2436,62262,0,0,0,0,2,0,0,0,0,44.7,16.8,0.559284116,0
293064458,해밀마을1단지,36.524978,127.2631843,2,2009,1455,112,0.561800895,0.406879195,0.0313199105,2565,62262,0,0,0,0,3,0,0,0,0,36.7,27.6,0.68119891,0
293064479,집현동,36.49804,127.32304,3,3385,4645,1358,0.360566681,0.494780571,0.144652748,564,29318,0,0,0,0,6,0,0,0,0,39.1,57.4,0.639386189,1
293064478,산학연클러스터,36.50067,127.3279,1,277,1052,6,0.207490637,0.788014981,0.00449438202,54,29318,0,0,0,0,6,101,0,0,0,53.3,52.7,0.469043152,0
293064477,산학연클러스터,36.50184,127.32914,1,1030,64,43,0.9058927,0.0562884785,0.0378188215,505,29318,0,0,0,0,5,2,0,0,0,65.7,86.8,0.380517504,0
293064476,아름제2중(가락마을20단지),36.5166984,127.2418662,1,8018,4588,238,0.624260355,0.357209592,0.0185300529,3157,151477,0,0,0,0,12,11,1,0,0,44.6,43.3,0.560538117,1
293064475,가락마을8단지.가재마을4단지,36.5076286,127.2416171,1,5116,6181,94,0.449126503,0.542621368,0.00825212887,5246,88689,0,0,0,0,8,18,0,0,0,20.7,101.5,1.207729469,1
293064473,"종촌초등학교(가락마을6, 7단지)",36.5034395,127.2408773,1,8068,6771,184,0.5370432,0.450708913,0.0122478866,5837,195759,0,0,0,0,10,43,1,0,0,36,75.1,0.694444444,1
293011079,집현동,36.4999553,127.3334594,1,127,24,1,0.835526316,0.157894737,0.00657894737,0,29318,0,0,0,0,0,100,0,0,0,34.1,51.3,0.73313783,0
293064516,"새샘마을7,8단지",36.48709,127.30017,3,15350,29604,1789,0.328391417,0.633335473,0.0382731104,3121,9302,0,0,0,1,19,383,1,0,0,18.1,126,0.828729282,0
293064515,"새샘마을7,8단지",36.48683,127.29981,3,29393,21356,1598,0.561503047,0.407969893,0.0305270598,4154,9302,0,0,0,1,19,372,1,0,0,19.5,94.5,0.769230769,0
293064512,반곡고등학교,36.49733,127.31655,1,1556,0,0,1,0,0,2303,29318,0,0,0,0,5,86,1,0,0,27.3,99.6,0.915750916,1
293064511,반곡고등학교,36.4978363,127.3161531,1,9859,3377,185,0.734595038,0.251620595,0.0137843678,2234,29318,0,0,0,0,4,135,1,0,0,43.7,95.9,0.57208238,1
293064524,"나릿재마을4,6단지",36.491527,127.261263,2,3051,6727,205,0.305619553,0.673845537,0.0205349093,2077,83219,0,0,0,1,11,587,1,0,0,15.4,165.5,1.623376623,0
293064523,"나릿재마을 4,6단지",36.4916231,127.2611096,2,7822,6788,304,0.524473649,0.455142819,0.0203835323,2107,83219,0,0,0,1,11,598,1,0,0,18.3,187.2,1.366120219,0
293051005,가람동(이마트앞),36.47061,127.2518,2,8793,8307,878,0.489097786,0.462064746,0.048837468,3224,61979,0,0,1,0,1,37,0,0,0,25,193.2,1.2,0
293051004,열병합발전소,36.4654,127.24613,2,545,1488,260,0.237679895,0.648931531,0.113388574,0,41244,0,0,0,0,2,3,0,0,0,52.3,264.7,0.573613767,0
293051003,열병합발전소,36.46513,127.246,2,1319,1554,150,0.436321535,0.514058882,0.0496195832,0,41244,0,0,0,0,2,3,0,0,0,48.9,337.2,0.613496933,0
293900014,세종연구단지,36.4960327,127.3053012,1,2283,28269,168,0.0743164062,0.920214844,0.00546875,1225,29318,0,0,1,0,8,32,0,0,0,19.8,197.1,1.262626263,1
293900013,세종연구단지,36.4962997,127.3055641,1,23406,2414,663,0.883812257,0.091152815,0.0250349281,1225,29318,0,0,1,0,8,36,0,0,0,25.9,186.4,0.965250965,1
293053004,새롬동.나성동,36.48771,127.25729,4,162379,144709,7900,0.515508527,0.459411152,0.0250803205,3064,83219,0,0,2,0,23,904,0,0,0,27.2,311.4,0.919117647,1
293900011,전통문화체험관,36.5038919,127.2832104,1,356,1202,5,0.227767115,0.769033909,0.00319897633,0,107847,0,0,0,0,0,0,0,0,0,61.2,152.7,0.408496732,1
293053003,"새롬동,나성동(청소년센터)",36.4877395,127.2571293,5,75818,99710,17224,0.393344816,0.517296837,0.0893583465,3117,83219,0,0,2,0,26,904,0,0,0,27.2,311.4,0.919117647,1
293900010,세종소방서,36.5061679,127.2722563,1,5327,4013,99,0.564360631,0.425150969,0.0104883992,1185,107847,0,0,0,0,4,89,0,0,1,44.1,204.2,0.566893424,1
293900009,세종소방서,36.5064823,127.272369,1,2665,6398,52,0.292375206,0.701919912,0.00570488206,1567,62262,0,0,0,0,4,85,0,0,1,45.2,135.3,0.331858407,1
293052002,은하수공원,36.532563,127.243964,1,152,6474,42,0.0227954409,0.970905819,0.00629874025,0,195759,0,0,0,0,0,0,0,0,0,45.3,146.3,0.883002208,0
293900034,대전세종연구원,36.4894396,127.3023454,1,1160,80,232,0.788043478,0.0543478261,0.157608696,1667,9302,0,0,0,0,16,216,1,0,0,48.4,110.4,0.516528926,0
293052001,은하수공원,36.53181,127.244421,1,8566,1083,1297,0.782568975,0.0989402521,0.118490773,0,195759,0,0,0,0,0,0,0,0,0,42.7,113,0.93676815,0
293051006,가람동(이마트앞),36.47062,127.25208,2,5064,7454,1340,0.365420696,0.537884255,0.0966950498,2790,61979,0,0,1,0,1,37,0,0,0,25.1,167.2,1.195219124,0
293054003,다정동,36.4939251,127.2563976,4,136941,88453,6507,0.590514918,0.381425695,0.0280593874,3030,83219,0,0,0,0,18,308,0,0,0,29.5,267.2,0.847457627,1
293900019,한국개발연구원(KDI),36.4819656,127.3084015,1,10533,4803,6839,0.474994363,0.216595265,0.308410372,2595,29318,0,0,0,0,7,10,0,0,0,28.8,110.8,0.868055556,1
293053011,한솔동,36.48034,127.26243,5,119734,136208,14233,0.443172018,0.504147312,0.0526806699,2462,83219,0,0,1,3,13,266,0,0,0,40.7,248.1,0.614250614,1
293900018,새나루마을1단지(후문),36.4837674,127.3176229,1,4587,11979,118,0.274934069,0.717993287,0.00707264445,0,29318,0,0,0,0,3,0,0,0,0,23.9,49.5,0.627615063,1
293053010,한솔동(첫마을),36.4812897,127.2618716,8,105621,49823,26547,0.580363864,0.273766285,0.145869851,2057,83219,0,0,1,3,14,342,0,0,0,48.2,234.6,0.518672199,1
293053009,한솔동,36.4810822,127.2617829,4,89513,60363,10887,0.556801005,0.375478188,0.0677208064,2143,83219,0,0,1,3,14,342,0,0,0,35.5,213.7,0.704225352,1
293053008,한솔동(첫마을),36.4811358,127.2615539,8,55108,89117,11674,0.353485269,0.571632916,0.0748818145,2505,83219,0,0,1,3,14,342,0,0,0,35.5,213.7,0.704225352,1
293056004,도담동(도램마을),36.514017,127.2593948,9,382296,100095,196731,0.562926838,0.147388834,0.289684328,5089,62262,0,0,2,0,21,483,0,0,0,20.2,423.6,1.237623762,1
293056003,도담동,36.5140662,127.259188,5,184704,225988,43337,0.406811019,0.497739131,0.0954498501,5574,62262,0,0,2,0,22,483,0,0,0,20.2,423.6,1.237623762,1
293056002,도담동,36.51483,127.25896,4,312246,170407,61344,0.573984783,0.313249889,0.112765328,4526,62262,0,0,2,0,22,475,0,0,0,10.4,508,2.403846154,1
293056001,도담동(도램마을),36.5149714,127.2587943,10,158488,339061,45840,0.291665823,0.623974722,0.0843594552,4526,62262,0,0,2,0,21,477,0,0,0,10.4,508,2.403846154,1
293055069,도램마을20단지,36.517445,127.264615,1,3448,6381,61,0.348634985,0.645197169,0.00616784631,1795,62262,0,0,0,0,8,34,1,0,0,35.2,31,0.710227273,0
293055059,세종고속시외버스터미널,36.46881,127.2735046,22,258009,168880,172830,0.430216485,0.281598549,0.288184967,1168,53839,0,1,1,0,4,21,0,0,0,21.4,38.1,0.934579439,0
293055058,세종고속시외버스터미널,36.4689905,127.2735878,25,202799,252228,117132,0.35444518,0.440835502,0.204719318,1082,53839,0,1,1,0,4,21,0,0,0,5.7,118.7,3.50877193,0
293055002,세종고속시외버스터미널(지상),36.4693014,127.2740033,8,104415,100719,56635,0.398882221,0.384762902,0.216354878,1178,53839,0,1,1,0,8,28,0,0,0,22.8,134.1,0.877192982,1
293057002,한국조세재정연구원,36.49285,127.30063,5,12168,12475,1669,0.462450593,0.474118273,0.0634311341,1359,29318,0,0,0,0,6,116,0,0,0,24.1,79.1,0.829875519,0
293057001,한국조세재정연구원,36.49277,127.30037,5,9966,9204,536,0.505734294,0.467065868,0.0271998376,1359,29318,0,0,0,0,6,116,0,0,0,49.4,43.8,0.4048583,0
293056011,"도램마을16,19단지",36.51484,127.2660717,1,3963,5485,107,0.414756672,0.574045003,0.0111983255,3232,62262,0,0,0,0,6,24,2,0,0,33.5,38.5,0.746268657,0
293056010,"도램마을16,19단지",36.51532,127.2659733,1,6245,2549,219,0.692888051,0.282813714,0.0242982359,3601,62262,0,0,0,0,7,25,2,0,0,35.2,36.1,0.710227273,0
293056008,양지중학교,36.50843,127.26785,1,2552,2076,70,0.543209877,0.441890166,0.0148999574,3249,62262,0,0,1,0,5,14,2,0,0,27,62.5,0.925925926,0
293056007,"도램마을14,15단지",36.51233,127.2668,1,1490,3380,41,0.303400529,0.688250865,0.00834860517,3699,62262,0,0,0,0,8,29,0,0,0,35.8,33,0.698324022,0
293060004,한국개발연구원(KDI),36.4825782,127.3074549,4,15914,24462,6461,0.33977411,0.522279394,0.137946495,2445,9302,0,0,0,0,9,14,0,0,0,36.5,112.7,0.684931507,1
293060003,한국개발연구원(KDI),36.48246,127.30716,3,14490,11021,2609,0.515291607,0.391927454,0.0927809388,2023,9302,0,0,0,0,9,14,0,0,0,19.9,96.1,1.256281407,0
293013007,운당1리,36.6979,127.15261,2,5363,1056,32,0.831343978,0.163695551,0.00496047124,26,28286,0,0,0,0,0,26,0,0,0,65,126.4,0.615384615,0
293062002,어진중학교(가재마을9단지),36.4986553,127.2550362,7,42722,65849,7503,0.368058308,0.567301894,0.0646397987,1732,107847,0,0,0,0,7,64,2,0,0,34.5,169,0.724637681,1
293061007,범지기마을10단지,36.51879,127.25226,2,13526,32276,898,0.289635974,0.691134904,0.0192291221,2722,151477,0,0,0,0,6,30,0,0,0,14.9,82.1,1.342281879,0
293061006,아름초등학교,36.5147,127.25062,2,22887,33912,692,0.398097093,0.58986624,0.0120366666,4175,151477,0,0,0,0,11,164,0,0,0,20.2,51.5,0.742574257,0
293061005,"범지기마을6,11단지",36.51045,127.2498,2,70009,16303,2235,0.790642258,0.18411691,0.0252408326,3712,151477,0,0,0,0,16,261,0,0,0,29.8,62.6,0.67114094,0
293062010,과기정통부(중기부),36.49776,127.2605,1,21149,5754,1560,0.743034817,0.202157187,0.0548079963,1113,107847,0,0,2,0,15,289,0,0,1,34.4,108.5,0.726744186,0
293062009,과기정통부(중기부),36.49753,127.26038,1,287,11565,18,0.0241786015,0.974304971,0.00151642797,1334,107847,0,0,0,0,13,294,0,0,0,14,111.1,1.785714286,0
293062008,정부세종청사남측,36.5016046,127.2601032,10,124498,153410,63902,0.364231591,0.448816594,0.186951815,195,107847,0,0,4,0,13,79,0,0,1,34.4,312.6,0.726744186,0
293062007,정부세종청사남측,36.50173,127.25991,4,127745,118869,19715,0.479651108,0.446323908,0.0740249841,213,107847,0,0,4,0,14,79,0,0,1,34.2,357.7,0.730994152,1
293062006,정부세종청사남측,36.5008869,127.2596196,5,141780,158141,19432,0.443960132,0.495191841,0.0608480271,18,107847,0,0,3,0,14,108,0,0,1,25.8,289.3,0.968992248,1
293062005,정부세종청사남측,36.5008322,127.2593406,11,183117,92176,107229,0.478709721,0.240969147,0.280321132,18,107847,0,0,3,0,14,108,0,0,1,31.8,255.6,0.786163522,0
293062004,다정동,36.49491,127.25649,3,152045,171212,6473,0.461119704,0.519249083,0.0196312134,2789,83219,0,0,0,0,13,230,1,0,0,43.2,590.7,0.578703704,1
293062003,어진중학교(가재마을9단지),36.4989327,127.2549113,8,66058,43852,12434,0.539936572,0.358431962,0.101631465,2076,107847,0,0,0,0,9,70,2,0,0,36.1,190.9,0.692520776,1
293062018,문화체육관광부,36.49931,127.26472,3,5011,16693,328,0.227441903,0.757670661,0.0148874365,649,107847,0,0,1,0,9,14,0,0,2,34.1,90.6,0.73313783,0
293062017,문화체육관광부,36.49815,127.2644,3,14837,12044,707,0.537806293,0.436566623,0.0256270842,520,107847,0,0,1,0,12,289,0,0,1,28.7,77.1,0.871080139,0
293062014,정부세종청사북측,36.5050692,127.2615051,4,191516,153595,25586,0.516637577,0.414341093,0.0690213301,414,107847,0,0,5,0,18,136,0,0,1,36.1,323.8,0.692520776,1
293062013,정부세종청사북측,36.5051501,127.261382,11,105731,110525,24122,0.439853065,0.459796654,0.100350282,414,107847,0,0,5,0,17,136,0,0,1,36.1,323.8,0.692520776,0
293062012,정부세종청사북측,36.5048938,127.2616877,10,116401,76966,39292,0.500307317,0.330810328,0.168882356,566,107847,0,0,5,0,16,63,0,0,1,29.1,359.2,0.859106529,0
293062011,정부세종청사북측,36.504176,127.2611617,5,159069,170047,14218,0.463306867,0.495281563,0.0414115701,193,107847,0,0,6,0,15,31,0,0,1,24.6,341.5,1.016260163,1
293063001,가재마을5단지.가온마을6단지,36.49915,127.24736,2,3758,6819,153,0.350232992,0.635507922,0.0142590867,4693,88689,0,0,0,0,14,25,0,0,0,28.1,186.2,0.889679715,1
